,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tyrese Maxey,SG,9,9,11/2/2022,21-363,PHI,,WAS,L (-10),1,43:09:00,11,20,0.55,5,9,0.556,5,8,0.625,0,2,2,4,0,0,0,1,32,24.2,-2
Tyrese Maxey,SG,10,10,11/4/2022,22-000,PHI,,NYK,L (-2),1,39:03:00,10,29,0.345,4,13,0.308,7,7,1,1,2,3,7,1,0,4,3,31,16.7,2
Tyrese Maxey,SG,11,11,11/7/2022,22-003,PHI,,PHO,W (+12),1,40:20:00,4,18,0.222,0,4,0,3,6,0.5,1,4,5,6,0,1,2,0,11,3.6,8
Tyrese Maxey,SG,12,12,11/10/2022,22-006,PHI,@,ATL,L (-9),1,33:16:00,5,17,0.294,2,6,0.333,3,4,0.75,1,3,4,5,0,0,1,2,15,8,-9
Tyrese Maxey,SG,13,13,11/12/2022,22-008,PHI,,ATL,W (+12),1,35:55:00,10,18,0.556,3,5,0.6,3,4,0.75,0,2,2,9,1,0,3,4,26,20.3,24
Tyrese Maxey,SG,14,14,11/13/2022,22-009,PHI,,UTA,W (+7),1,36:42:00,8,24,0.333,2,8,0.25,0,0,,0,3,3,3,4,1,1,4,18,9.5,15
Tyrese Maxey,SG,15,15,11/18/2022,22-014,PHI,,MIL,W (+8),1,20:50,9,12,0.75,3,4,0.75,3,5,0.6,0,4,4,5,0,1,1,0,24,22.8,-4
Tyrese Maxey,SG,16,,11/19/2022,22-015,PHI,,MIN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,17,,11/22/2022,22-018,PHI,,BRK,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,18,,11/23/2022,22-019,PHI,@,CHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,19,,11/25/2022,22-021,PHI,@,ORL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Tyrese Maxey,SG,20,,11/27/2022,22-023,PHI,@,ORL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
