,Position,Rank,Game,Date,Age,Team,Location,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Franz Wagner,SF,39,38,1/5/2023,21-131,ORL,,MEM,L (-8),1,37:40:00,6,10,0.6,2,4,0.5,8,10,0.8,0,2,2,3,2,0,2,4,22,17.7,-12
Franz Wagner,SF,40,39,1/7/2023,21-133,ORL,@,GSW,W (+14),1,34:48:00,9,16,0.563,3,7,0.429,3,5,0.6,0,2,2,2,1,0,2,3,24,15.4,14
Franz Wagner,SF,41,40,1/9/2023,21-135,ORL,@,SAC,L (-25),1,29:07:00,7,12,0.583,2,5,0.4,0,0,,0,2,2,1,0,0,1,3,16,9.5,-9
Franz Wagner,SF,42,41,1/10/2023,21-136,ORL,@,POR,W (+3),1,34:28:00,12,20,0.6,2,5,0.4,3,4,0.75,1,1,2,2,2,0,2,2,29,21,14
Franz Wagner,SF,43,42,1/13/2023,21-139,ORL,@,UTA,L (-4),1,34:33:00,10,20,0.5,5,10,0.5,1,3,0.333,1,4,5,2,4,1,0,0,26,23.2,14
Franz Wagner,SF,44,43,1/15/2023,21-141,ORL,@,DEN,L (-3),1,31:47:00,7,16,0.438,2,7,0.286,3,4,0.75,0,5,5,2,1,0,2,1,19,11.7,21
Franz Wagner,SF,45,44,1/20/2023,21-146,ORL,,NOP,W (+13),1,32:22:00,10,16,0.625,5,7,0.714,5,5,1,1,5,6,9,0,0,2,2,30,28.5,21
Franz Wagner,SF,46,45,1/21/2023,21-147,ORL,@,WAS,L (-20),1,26:54:00,5,11,0.455,1,2,0.5,9,10,0.9,0,4,4,1,0,0,1,3,20,13.6,-17
Franz Wagner,SF,47,46,1/23/2023,21-149,ORL,,BOS,W (+15),1,33:17:00,7,13,0.538,1,5,0.2,0,0,,2,5,7,6,1,0,1,1,15,15.4,17
Franz Wagner,SF,48,47,1/25/2023,21-151,ORL,,IND,W (+6),1,34:16:00,5,11,0.455,1,3,0.333,2,4,0.5,0,3,3,7,2,0,2,1,13,11.9,12
Franz Wagner,SF,49,48,1/27/2023,21-153,ORL,@,MIA,L (-5),1,32:58:00,6,10,0.6,3,4,0.75,4,4,1,1,5,6,2,0,0,1,2,19,16.2,0
Franz Wagner,SF,50,49,1/28/2023,21-154,ORL,,CHI,L (-19),1,22:30,3,8,0.375,0,2,0,1,1,1,0,2,2,4,0,0,1,0,7,5,-14
Franz Wagner,SF,51,50,1/30/2023,21-156,ORL,@,PHI,W (+10),1,38:29:00,7,16,0.438,2,4,0.5,3,6,0.5,5,1,6,3,2,0,1,4,19,14.7,7
Franz Wagner,SF,52,51,2/1/2023,21-158,ORL,@,PHI,L (-11),1,36:24:00,6,15,0.4,1,7,0.143,0,1,0,3,1,4,2,2,0,6,3,13,3.1,-4
Franz Wagner,SF,53,52,2/3/2023,21-160,ORL,@,MIN,W (+7),1,33:32:00,4,7,0.571,1,1,1,0,2,0,1,5,6,4,0,0,4,3,9,4.7,12
Franz Wagner,SF,54,53,2/5/2023,21-162,ORL,@,CHO,W (+6),1,31:08:00,5,16,0.313,2,5,0.4,2,2,1,3,3,6,1,1,0,1,3,14,7.3,6
Franz Wagner,SF,55,54,2/7/2023,21-164,ORL,,NYK,L (-4),1,31:48:00,7,12,0.583,1,4,0.25,3,4,0.75,0,2,2,4,0,1,0,3,18,14.9,-2
Franz Wagner,SF,56,55,2/9/2023,21-166,ORL,,DEN,W (+11),1,34:24:00,3,9,0.333,1,4,0.25,3,3,1,1,1,2,6,3,0,1,2,10,11.3,5
Franz Wagner,SF,57,56,2/11/2023,21-168,ORL,,MIA,L (-4),1,35:51:00,4,15,0.267,0,4,0,2,3,0.667,0,4,4,4,1,0,4,3,10,0.5,0
Franz Wagner,SF,58,57,2/13/2023,21-170,ORL,@,CHI,W (+9),1,32:56:00,7,8,0.875,3,4,0.75,1,2,0.5,0,3,3,3,1,0,4,3,18,13.6,9
Franz Wagner,SF,59,58,2/14/2023,21-171,ORL,@,TOR,L (-10),1,32:04:00,3,9,0.333,2,5,0.4,1,1,1,0,0,0,6,1,0,3,3,9,4.9,-13
Franz Wagner,SF,60,59,2/23/2023,21-180,ORL,,DET,W (+2),1,30:32:00,7,13,0.538,2,5,0.4,5,5,1,0,5,5,1,0,0,1,4,21,14.3,11
Franz Wagner,SF,61,60,2/25/2023,21-182,ORL,,IND,L (-13),1,34:17:00,7,12,0.583,2,5,0.4,5,6,0.833,1,5,6,2,1,0,1,2,21,17.8,-8
Franz Wagner,SF,62,61,2/27/2023,21-184,ORL,@,NOP,W (+8),1,36:28:00,4,10,0.4,3,7,0.429,0,0,,1,4,5,3,2,1,1,4,11,9.7,-2
Franz Wagner,SF,63,62,3/1/2023,21-186,ORL,@,MIL,L (-22),1,30:28:00,5,11,0.455,1,3,0.333,7,8,0.875,1,0,1,1,0,0,3,0,18,10.3,-15
Franz Wagner,SF,64,63,3/3/2023,21-188,ORL,@,CHO,W (+11),1,13:57,3,5,0.6,1,2,0.5,2,2,1,0,1,1,1,0,1,2,0,9,6.4,10
Franz Wagner,SF,65,64,3/5/2023,21-190,ORL,,POR,L (-3),1,32:43:00,7,12,0.583,4,7,0.571,6,7,0.857,0,2,2,6,1,0,3,4,24,19.2,2
Paolo Banchero,PF,1,1,10/19/2022,19-341,ORL,@,DET,L (-4),1,35:20:00,11,18,0.611,0,0,,5,7,0.714,2,7,9,5,0,2,4,5,27,20.4,2
Paolo Banchero,PF,2,2,10/21/2022,19-343,ORL,@,ATL,L (-10),1,33:38:00,6,18,0.333,1,6,0.167,7,8,0.875,2,10,12,2,1,3,4,1,20,13.9,-10
Paolo Banchero,PF,3,3,10/22/2022,19-344,ORL,,BOS,L (-6),1,33:13:00,6,19,0.316,2,7,0.286,9,11,0.818,1,4,5,3,0,1,2,1,23,13.6,-16
Paolo Banchero,PF,4,4,10/24/2022,19-346,ORL,@,NYK,L (-13),1,33:35:00,6,13,0.462,0,3,0,9,11,0.818,0,4,4,2,2,0,1,3,21,15.9,-2
Paolo Banchero,PF,5,5,10/26/2022,19-348,ORL,@,CLE,L (-11),1,36:59:00,10,19,0.526,3,5,0.6,6,8,0.75,1,7,8,4,1,2,3,2,29,23.1,-7
Paolo Banchero,PF,6,6,10/28/2022,19-350,ORL,,CHO,W (+20),1,27:11:00,8,14,0.571,2,4,0.5,3,7,0.429,2,10,12,7,0,0,2,0,21,20.1,27
Paolo Banchero,PF,7,7,10/30/2022,19-352,ORL,@,DAL,L (-9),1,32:23:00,6,20,0.3,1,6,0.167,5,8,0.625,0,3,3,4,0,0,2,5,18,4.9,6
Paolo Banchero,PF,8,8,11/1/2022,19-354,ORL,@,OKC,L (-8),1,37:26:00,6,13,0.462,0,1,0,3,3,1,0,8,8,2,1,0,4,0,15,9.1,1
Paolo Banchero,PF,9,9,11/3/2022,19-356,ORL,,GSW,W (+1),1,36:06:00,8,17,0.471,0,4,0,6,9,0.667,0,8,8,3,1,1,5,3,22,12.1,-19
Paolo Banchero,PF,10,10,11/5/2022,19-358,ORL,,SAC,L (-3),1,39:51:00,14,26,0.538,0,3,0,5,5,1,1,15,16,4,0,1,1,2,33,27.3,1
Paolo Banchero,PF,11,11,11/7/2022,19-360,ORL,,HOU,L (-7),1,35:29:00,8,16,0.5,2,4,0.5,12,14,0.857,0,6,6,4,2,0,5,4,30,21.2,-9
Paolo Banchero,PF,12,,11/9/2022,19-362,ORL,,DAL,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Paolo Banchero,PF,13,,11/11/2022,19-364,ORL,,PHO,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,14,,11/14/2022,20-002,ORL,,CHO,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,15,,11/16/2022,20-004,ORL,,MIN,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,16,,11/18/2022,20-006,ORL,@,CHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,17,,11/19/2022,20-007,ORL,@,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,18,,11/21/2022,20-009,ORL,@,IND,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Paolo Banchero,PF,19,12,11/25/2022,20-013,ORL,,PHI,L (-8),1,35:44:00,5,12,0.417,1,3,0.333,8,11,0.727,2,2,4,3,1,0,4,1,19,12.1,-9
Paolo Banchero,PF,20,13,11/27/2022,20-015,ORL,,PHI,L (-30),1,31:14:00,7,17,0.412,1,4,0.25,3,6,0.5,0,1,1,1,0,0,0,3,18,7.5,-14
Paolo Banchero,PF,21,14,11/28/2022,20-016,ORL,@,BRK,L (-7),1,38:45:00,9,17,0.529,1,1,1,5,10,0.5,2,2,4,5,2,0,5,3,24,15,-9
Paolo Banchero,PF,22,15,11/30/2022,20-018,ORL,,ATL,L (-17),1,34:48:00,6,14,0.429,1,4,0.25,7,9,0.778,0,2,2,5,0,0,3,2,20,12.1,-21
Paolo Banchero,PF,23,16,12/2/2022,20-020,ORL,@,CLE,L (-11),1,37:28:00,10,17,0.588,0,2,0,2,4,0.5,3,2,5,4,1,0,2,0,22,17.8,-16
Paolo Banchero,PF,24,17,12/3/2022,20-021,ORL,@,TOR,L (-13),1,26:53:00,2,8,0.25,1,5,0.2,4,6,0.667,2,1,3,3,1,0,2,2,9,5.4,-28
Paolo Banchero,PF,25,18,12/5/2022,20-023,ORL,,MIL,L (-7),1,32:33:00,4,16,0.25,0,3,0,12,15,0.8,5,7,12,7,1,1,4,2,20,16.6,1
Paolo Banchero,PF,26,19,12/7/2022,20-025,ORL,,LAC,W (+5),1,38:19:00,5,13,0.385,0,2,0,13,14,0.929,1,4,5,2,2,0,2,3,23,17.6,-9
Paolo Banchero,PF,27,20,12/9/2022,20-027,ORL,,TOR,W (+4),1,38:10:00,8,11,0.727,1,3,0.333,6,7,0.857,0,6,6,4,0,1,3,3,23,19.2,18
Paolo Banchero,PF,28,21,12/11/2022,20-029,ORL,,TOR,W (+12),1,36:36:00,6,14,0.429,2,5,0.4,6,8,0.75,4,8,12,5,1,1,4,1,20,17.8,5
Paolo Banchero,PF,29,22,12/14/2022,20-032,ORL,,ATL,W (+11),1,33:35:00,6,16,0.375,2,7,0.286,6,7,0.857,2,4,6,6,2,1,2,4,20,16.7,15
Paolo Banchero,PF,30,23,12/16/2022,20-034,ORL,@,BOS,W (+8),1,37:00:00,5,13,0.385,3,6,0.5,7,8,0.875,1,4,5,5,1,0,3,5,20,13.9,-1
Paolo Banchero,PF,31,24,12/18/2022,20-036,ORL,@,BOS,W (+3),1,33:55:00,9,21,0.429,6,7,0.857,7,9,0.778,0,6,6,3,2,0,4,2,31,20.2,4
Paolo Banchero,PF,32,25,12/19/2022,20-037,ORL,@,ATL,L (-1),1,34:53:00,7,15,0.467,1,4,0.25,3,4,0.75,0,4,4,7,1,2,3,1,18,15,-1
Paolo Banchero,PF,33,26,12/21/2022,20-039,ORL,@,HOU,W (+6),1,32:07:00,9,20,0.45,1,4,0.25,4,8,0.5,0,13,13,3,2,0,5,2,23,13.2,-3
Paolo Banchero,PF,34,27,12/23/2022,20-041,ORL,,SAS,W (+20),1,29:15:00,7,15,0.467,3,6,0.5,1,1,1,0,6,6,4,0,0,2,0,18,12.9,13
Paolo Banchero,PF,35,28,12/27/2022,20-045,ORL,,LAL,L (-19),1,22:21,1,6,0.167,0,2,0,2,4,0.5,1,4,5,3,1,0,2,5,4,0.4,-12
Paolo Banchero,PF,36,29,12/28/2022,20-046,ORL,@,DET,L (-20),1,32:06:00,4,12,0.333,0,1,0,7,8,0.875,1,4,5,2,1,1,2,5,15,8.8,-14
Paolo Banchero,PF,37,30,12/30/2022,20-048,ORL,,WAS,L (-19),1,37:35:00,7,24,0.292,1,5,0.2,6,7,0.857,1,4,5,4,0,0,5,3,21,5.1,-20
Paolo Banchero,PF,38,31,1/4/2023,20-053,ORL,,OKC,W (+11),1,35:48:00,8,17,0.471,2,5,0.4,7,9,0.778,1,7,8,7,1,0,3,3,25,20,13
Paolo Banchero,PF,39,32,1/5/2023,20-054,ORL,,MEM,L (-8),1,35:46:00,10,20,0.5,2,7,0.286,8,9,0.889,3,6,9,3,1,0,1,3,30,24.4,10
Paolo Banchero,PF,40,33,1/7/2023,20-056,ORL,@,GSW,W (+14),1,31:18:00,9,20,0.45,4,9,0.444,3,4,0.75,1,4,5,3,1,0,2,1,25,16.8,7
Paolo Banchero,PF,41,34,1/9/2023,20-058,ORL,@,SAC,L (-25),1,32:15:00,5,11,0.455,2,7,0.286,5,8,0.625,0,8,8,4,3,0,1,0,17,17.3,-12
Paolo Banchero,PF,42,35,1/10/2023,20-059,ORL,@,POR,W (+3),1,37:36:00,5,16,0.313,1,5,0.2,8,10,0.8,0,10,10,2,3,1,5,2,19,11.3,7
Paolo Banchero,PF,43,36,1/13/2023,20-062,ORL,@,UTA,L (-4),1,31:10:00,8,16,0.5,1,5,0.2,2,4,0.5,1,3,4,3,2,0,4,6,19,9.5,-5
Paolo Banchero,PF,44,37,1/15/2023,20-064,ORL,@,DEN,L (-3),1,32:53:00,5,9,0.556,2,3,0.667,6,6,1,0,2,2,4,1,1,2,3,18,15.6,-16
Paolo Banchero,PF,45,38,1/20/2023,20-069,ORL,,NOP,W (+13),1,24:38:00,2,7,0.286,0,2,0,7,8,0.875,1,5,6,2,1,0,3,1,11,7.7,-15
Paolo Banchero,PF,46,39,1/21/2023,20-070,ORL,@,WAS,L (-20),1,28:23:00,5,12,0.417,1,4,0.25,4,6,0.667,1,0,1,4,0,0,0,1,15,10.9,-6
Paolo Banchero,PF,47,40,1/23/2023,20-072,ORL,,BOS,W (+15),1,35:45:00,7,13,0.538,3,5,0.6,6,9,0.667,0,5,5,2,0,0,1,0,23,17.4,12
Paolo Banchero,PF,48,41,1/25/2023,20-074,ORL,,IND,W (+6),1,35:38:00,6,14,0.429,2,6,0.333,9,10,0.9,1,2,3,4,2,1,4,4,23,16.4,9
Paolo Banchero,PF,49,42,1/27/2023,20-076,ORL,@,MIA,L (-5),1,35:42:00,4,14,0.286,1,6,0.167,10,13,0.769,0,5,5,1,1,0,5,3,19,6.6,-18
Paolo Banchero,PF,50,43,1/28/2023,20-077,ORL,,CHI,L (-19),1,24:45:00,3,14,0.214,0,4,0,3,4,0.75,2,5,7,3,1,0,1,2,9,4.2,-19
Paolo Banchero,PF,51,44,1/30/2023,20-079,ORL,@,PHI,W (+10),1,36:36:00,11,22,0.5,3,5,0.6,4,5,0.8,0,9,9,3,1,1,2,0,29,22.1,15
Paolo Banchero,PF,52,45,2/1/2023,20-081,ORL,@,PHI,L (-11),1,35:35:00,5,18,0.278,0,6,0,3,6,0.5,2,7,9,3,1,1,1,3,13,6.3,-12
Paolo Banchero,PF,53,46,2/3/2023,20-083,ORL,@,MIN,W (+7),1,33:21:00,3,16,0.188,0,2,0,5,9,0.556,2,6,8,4,1,0,4,3,11,1.2,6
Paolo Banchero,PF,54,47,2/5/2023,20-085,ORL,@,CHO,W (+6),1,34:31:00,6,20,0.3,0,4,0,10,11,0.909,2,8,10,5,1,0,1,0,22,17.3,4
Paolo Banchero,PF,55,48,2/7/2023,20-087,ORL,,NYK,L (-4),1,34:08:00,6,15,0.4,0,3,0,4,8,0.5,1,7,8,5,1,0,1,2,16,11.8,-7
Paolo Banchero,PF,56,49,2/9/2023,20-089,ORL,,DEN,W (+11),1,33:04:00,5,12,0.417,1,2,0.5,0,2,0,2,8,10,2,0,0,2,2,11,6.2,-5
Paolo Banchero,PF,57,50,2/11/2023,20-091,ORL,,MIA,L (-4),1,33:46:00,6,16,0.375,0,4,0,4,4,1,5,8,13,1,0,0,3,4,16,9.2,-8
Paolo Banchero,PF,58,51,2/13/2023,20-093,ORL,@,CHI,W (+9),1,35:27:00,8,18,0.444,0,4,0,6,7,0.857,2,2,4,3,0,3,2,1,22,16,9
Paolo Banchero,PF,59,52,2/14/2023,20-094,ORL,@,TOR,L (-10),1,31:54:00,5,13,0.385,0,2,0,3,4,0.75,0,1,1,3,0,0,3,1,13,4.5,-9
Paolo Banchero,PF,60,53,2/23/2023,20-103,ORL,,DET,W (+2),1,31:50:00,4,13,0.308,0,1,0,3,5,0.6,1,5,6,6,0,0,2,1,11,6.7,9
Paolo Banchero,PF,61,54,2/25/2023,20-105,ORL,,IND,L (-13),1,32:50:00,6,12,0.5,0,2,0,7,9,0.778,1,5,6,0,1,1,2,2,19,13.3,-19
Paolo Banchero,PF,62,55,2/27/2023,20-107,ORL,@,NOP,W (+8),1,34:16:00,10,18,0.556,0,3,0,9,11,0.818,1,7,8,4,1,0,2,1,29,23.8,12
Paolo Banchero,PF,63,56,3/1/2023,20-109,ORL,@,MIL,L (-22),1,31:24:00,4,13,0.308,0,2,0,1,2,0.5,0,7,7,5,0,2,4,3,9,2.9,-20
Paolo Banchero,PF,64,57,3/3/2023,20-111,ORL,@,CHO,W (+11),1,35:35:00,13,26,0.5,2,6,0.333,3,4,0.75,1,5,6,5,1,1,3,2,31,21.2,3
Paolo Banchero,PF,65,58,3/5/2023,20-113,ORL,,POR,L (-3),1,33:26:00,9,18,0.5,1,4,0.25,7,10,0.7,1,4,5,2,1,1,3,4,26,16.2,-8
Wendell Carter Jr.,C,1,1,10/19/2022,23-186,ORL,@,DET,L (-4),1,32:39:00,5,8,0.625,1,2,0.5,0,0,,0,11,11,3,1,1,3,4,11,9.9,0
Wendell Carter Jr.,C,2,2,10/21/2022,23-188,ORL,@,ATL,L (-10),1,32:57:00,4,13,0.308,0,7,0,6,7,0.857,1,7,8,2,0,0,2,4,14,6.7,-12
Wendell Carter Jr.,C,3,3,10/22/2022,23-189,ORL,,BOS,L (-6),1,34:56:00,6,13,0.462,1,1,1,2,4,0.5,5,7,12,5,0,1,3,5,15,12.3,-4
Wendell Carter Jr.,C,4,4,10/24/2022,23-191,ORL,@,NYK,L (-13),1,33:36:00,5,10,0.5,2,5,0.4,5,6,0.833,4,7,11,1,1,0,1,3,17,16,-11
Wendell Carter Jr.,C,5,5,10/26/2022,23-193,ORL,@,CLE,L (-11),1,32:48:00,4,9,0.444,0,3,0,4,4,1,3,5,8,1,0,0,3,6,12,6.2,-13
Wendell Carter Jr.,C,6,6,10/28/2022,23-195,ORL,,CHO,W (+20),1,25:36:00,6,13,0.462,0,3,0,3,4,0.75,0,5,5,4,2,0,1,1,15,12.8,20
Wendell Carter Jr.,C,7,7,10/30/2022,23-197,ORL,@,DAL,L (-9),1,32:35:00,5,10,0.5,1,3,0.333,4,6,0.667,3,6,9,4,0,0,2,1,15,13.5,-6
Wendell Carter Jr.,C,8,8,11/1/2022,23-199,ORL,@,OKC,L (-8),1,35:26:00,10,15,0.667,2,2,1,8,8,1,5,7,12,2,2,1,2,3,30,30,4
Wendell Carter Jr.,C,9,9,11/3/2022,23-201,ORL,,GSW,W (+1),1,33:19:00,4,9,0.444,2,4,0.5,4,6,0.667,2,7,9,2,1,1,2,3,14,11.9,-2
Wendell Carter Jr.,C,10,10,11/5/2022,23-203,ORL,,SAC,L (-3),1,38:53:00,6,9,0.667,1,3,0.333,4,4,1,0,9,9,6,1,0,4,6,17,14.6,14
Wendell Carter Jr.,C,11,11,11/7/2022,23-205,ORL,,HOU,L (-7),1,27:23:00,6,12,0.5,1,2,0.5,2,2,1,3,4,7,2,0,0,2,5,15,9.7,-6
Wendell Carter Jr.,C,12,12,11/9/2022,23-207,ORL,,DAL,W (+7),1,34:16:00,5,9,0.556,1,2,0.5,2,2,1,0,12,12,3,0,1,5,2,13,9.3,10
Wendell Carter Jr.,C,13,13,11/11/2022,23-209,ORL,,PHO,W (+17),1,32:24:00,7,15,0.467,2,5,0.4,4,4,1,3,7,10,5,0,1,3,0,20,17.7,10
Wendell Carter Jr.,C,14,14,11/14/2022,23-212,ORL,,CHO,L (-7),1,31:51:00,5,8,0.625,3,4,0.75,7,10,0.7,3,2,5,4,0,2,1,1,20,20.7,-12
Wendell Carter Jr.,C,15,,11/16/2022,23-214,ORL,,MIN,L (-18),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Wendell Carter Jr.,C,16,15,11/18/2022,23-216,ORL,@,CHI,W (+1),1,33:56:00,9,16,0.563,1,6,0.167,2,2,1,0,8,8,5,0,0,5,4,21,12.7,13
Wendell Carter Jr.,C,17,,11/19/2022,23-217,ORL,@,IND,L (-1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Wendell Carter Jr.,C,18,,11/21/2022,23-219,ORL,@,IND,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,19,,11/25/2022,23-223,ORL,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,20,,11/27/2022,23-225,ORL,,PHI,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,21,,11/28/2022,23-226,ORL,@,BRK,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,22,,11/30/2022,23-228,ORL,,ATL,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,23,,12/2/2022,23-230,ORL,@,CLE,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,24,,12/3/2022,23-231,ORL,@,TOR,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,25,,12/5/2022,23-233,ORL,,MIL,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,26,,12/7/2022,23-235,ORL,,LAC,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,27,,12/9/2022,23-237,ORL,,TOR,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,28,,12/11/2022,23-239,ORL,,TOR,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,29,,12/14/2022,23-242,ORL,,ATL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,30,,12/16/2022,23-244,ORL,@,BOS,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,31,,12/18/2022,23-246,ORL,@,BOS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,32,,12/19/2022,23-247,ORL,@,ATL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,33,,12/21/2022,23-249,ORL,@,HOU,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Wendell Carter Jr.,C,34,16,12/23/2022,23-251,ORL,,SAS,W (+20),0,18:49,4,9,0.444,0,5,0,0,1,0,0,4,4,2,1,0,2,0,8,4.5,1
Wendell Carter Jr.,C,35,17,12/27/2022,23-255,ORL,,LAL,L (-19),0,19:27,6,8,0.75,2,2,1,1,2,0.5,1,2,3,4,0,0,1,2,15,13.7,-10
