Name,Position,Date,Team,Location,Opp,Minutes Played,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Al Horford,PF,10/18/2022,BOS,0,PHI,23:06,2,7,2,5,0,0,1,4,5,1,0,0,0,6
Al Horford,PF,10/21/2022,BOS,1,MIA,33:30:00,3,5,3,5,0,0,1,4,5,1,0,0,3,9
Al Horford,PF,10/24/2022,BOS,1,CHI,25:26:00,3,7,2,6,0,0,1,4,5,2,0,1,0,8
Al Horford,PF,10/28/2022,BOS,0,CLE,41:25:00,5,7,2,4,0,0,1,1,2,4,0,1,1,12
Al Horford,PF,10/30/2022,BOS,0,WAS,23:32,2,7,1,5,0,0,2,6,8,1,0,1,1,5
Al Horford,PF,11/2/2022,BOS,1,CLE,39:59:00,5,11,1,4,1,1,1,11,12,1,1,1,1,12
Al Horford,PF,11/4/2022,BOS,0,CHI,33:24:00,4,8,1,5,2,3,1,4,5,5,0,1,1,11
Al Horford,PF,11/7/2022,BOS,1,MEM,32:28:00,6,7,3,3,0,0,0,6,6,2,1,2,0,15
Al Horford,PF,11/9/2022,BOS,0,DET,26:23:00,6,6,1,1,0,1,1,5,6,2,1,0,0,13
Al Horford,PF,11/11/2022,BOS,0,DEN,34:26:00,7,12,6,8,1,2,0,7,7,2,1,0,0,21
Al Horford,PF,11/14/2022,BOS,0,OKC,32:23:00,5,12,1,5,1,1,4,7,11,4,1,1,1,12
Al Horford,PF,11/16/2022,BOS,1,ATL,27:19:00,3,6,1,3,0,0,3,8,11,4,0,1,2,7
Al Horford,PF,11/18/2022,BOS,1,NOP,34:14:00,7,8,4,5,0,0,3,4,7,2,0,0,2,18
Al Horford,PF,11/21/2022,BOS,1,CHI,34:46:00,0,9,0,7,0,0,1,4,5,2,2,2,1,0
Al Horford,PF,11/23/2022,BOS,0,DAL,35:00:00,5,5,4,4,0,0,0,5,5,4,0,1,0,14
Al Horford,PF,11/25/2022,BOS,0,SAC,27:47:00,5,8,3,3,0,0,0,4,4,5,0,2,0,13
Al Horford,PF,11/27/2022,BOS,0,WAS,25:43:00,6,8,2,3,0,0,0,3,3,3,0,3,0,14
Al Horford,PF,11/30/2022,BOS,0,MIA,33:20:00,2,4,2,4,0,0,0,6,6,5,1,0,0,6
Al Horford,PF,12/2/2022,BOS,0,MIA,34:23:00,2,5,1,4,0,0,0,6,6,3,0,0,2,5
Al Horford,PF,12/4/2022,BOS,1,BRK,33:19:00,1,5,1,4,0,0,0,6,6,2,1,3,0,3
Al Horford,PF,12/16/2022,BOS,0,ORL,15:53,2,4,2,4,0,0,0,6,6,1,0,3,1,6
Al Horford,PF,12/18/2022,BOS,0,ORL,33:09:00,3,11,2,9,0,0,0,6,6,2,0,1,0,8
Al Horford,PF,12/21/2022,BOS,0,IND,28:17:00,2,6,2,5,0,0,2,4,6,4,1,1,1,6
Al Horford,PF,12/23/2022,BOS,0,MIN,36:19:00,6,14,5,10,0,0,2,9,11,2,2,3,0,17
Al Horford,PF,12/25/2022,BOS,0,MIL,29:52:00,4,7,3,6,0,0,0,4,4,1,0,0,0,11
Al Horford,PF,12/27/2022,BOS,0,HOU,24:35:00,1,5,1,4,0,0,1,4,5,2,0,0,0,3
Al Horford,PF,12/29/2022,BOS,0,LAC,31:41:00,3,6,2,3,0,0,2,5,7,2,0,2,0,8
Al Horford,PF,1/1/2023,BOS,1,DEN,30:06:00,3,10,2,6,0,0,2,4,6,3,0,1,0,8
Al Horford,PF,1/3/2023,BOS,1,OKC,22:07,1,3,0,1,0,0,0,2,2,1,0,0,0,2
Al Horford,PF,1/5/2023,BOS,1,DAL,23:36,3,6,1,4,1,2,2,6,8,3,1,0,1,8
Al Horford,PF,1/7/2023,BOS,1,SAS,31:30:00,2,7,0,3,0,0,3,8,11,1,0,0,1,4
Al Horford,PF,1/9/2023,BOS,0,CHI,33:12:00,3,6,2,5,0,0,1,6,7,5,1,1,0,8
Al Horford,PF,1/11/2023,BOS,0,NOP,31:29:00,5,8,4,6,0,0,1,2,3,4,1,1,1,14
Al Horford,PF,1/14/2023,BOS,1,CHO,32:48:00,6,10,4,7,0,0,1,6,7,6,2,0,0,16
Al Horford,PF,1/16/2023,BOS,1,CHO,30:45:00,3,8,2,4,0,0,1,2,3,3,1,0,0,8
Al Horford,PF,1/19/2023,BOS,0,GSW,37:15:00,8,13,2,5,2,2,3,7,10,0,0,3,0,20
Al Horford,PF,1/21/2023,BOS,1,TOR,27:38:00,2,10,1,6,0,0,1,6,7,2,2,1,0,5
Al Horford,PF,1/23/2023,BOS,1,ORL,30:08:00,2,8,2,7,0,0,1,3,4,3,1,0,1,6
Al Horford,PF,1/26/2023,BOS,0,NYK,35:02:00,2,5,2,4,0,0,3,1,4,4,0,0,2,6
Al Horford,PF,1/28/2023,BOS,0,LAL,37:58:00,2,6,1,5,2,2,1,1,2,3,1,3,0,7
Al Horford,PF,2/1/2023,BOS,0,BRK,24:38:00,3,6,3,4,0,0,1,4,5,3,0,0,0,9
Al Horford,PF,2/3/2023,BOS,0,PHO,30:50:00,1,6,1,6,0,0,2,7,9,1,0,0,2,3
Al Horford,PF,2/6/2023,BOS,1,DET,32:52:00,1,6,1,4,0,0,0,6,6,3,0,0,1,3
Al Horford,PF,2/12/2023,BOS,0,MEM,30:06:00,5,9,4,7,2,2,1,8,9,5,0,1,1,16
Al Horford,PF,2/15/2023,BOS,0,DET,27:31:00,4,9,2,5,1,2,2,5,7,0,0,0,1,11
Al Horford,PF,2/23/2023,BOS,1,IND,33:55:00,3,4,1,2,0,0,4,3,7,6,0,1,0,7
Al Horford,PF,2/25/2023,BOS,1,PHI,32:25:00,5,9,5,8,0,0,0,4,4,2,1,0,0,15
Al Horford,PF,2/27/2023,BOS,1,NYK,27:53:00,5,9,3,7,0,0,0,2,2,1,0,0,0,13
Al Horford,PF,3/1/2023,BOS,0,CLE,32:38:00,8,10,6,8,1,1,1,10,11,3,0,1,2,23
